,cluster,name,label
391,1,GO_0019209,GO
395,1,GO_0019239,GO
420,1,GO_0022803,GO
421,1,GO_0022857,GO
422,1,GO_0022890,GO
432,1,GO_0030158,GO
436,1,GO_0030234,GO
441,1,GO_0030296,GO
450,1,GO_0030674,GO
472,1,GO_0031418,GO
476,1,GO_0031545,GO
478,1,GO_0031685,GO
486,1,GO_0032139,GO
511,1,GO_0033699,GO
517,1,GO_0034595,GO
540,1,GO_0036094,GO
543,1,GO_0038023,GO
555,1,GO_0042393,GO
562,1,GO_0042578,GO
563,1,GO_0042623,GO
577,1,GO_0043167,GO
578,1,GO_0043169,GO
580,1,GO_0043208,GO
593,1,GO_0043995,GO
594,1,GO_0043996,GO
596,1,GO_0044212,GO
626,1,GO_0045159,GO
658,1,GO_0046872,GO
660,1,GO_0047223,GO
661,1,GO_0047555,GO
665,1,GO_0048257,GO
716,1,GO_0051213,GO
725,1,GO_0051287,GO
749,1,GO_0060089,GO
752,1,GO_0060229,GO
780,1,GO_0070728,GO
783,1,GO_0070888,GO
828,1,GO_0097159,GO
834,1,GO_0098772,GO
836,1,GO_0140096,GO
837,1,GO_0140110,GO
845,1,GO_1901363,GO
6,2,GO_0000214,GO
7,2,GO_0000221,GO
16,2,GO_0000785,GO
17,2,GO_0000795,GO
18,2,GO_0000815,GO
19,2,GO_0000930,GO
44,2,GO_0002079,GO
119,2,GO_0005575,GO
120,2,GO_0005578,GO
121,2,GO_0005581,GO
122,2,GO_0005634,GO
123,2,GO_0005638,GO
124,2,GO_0005667,GO
125,2,GO_0005669,GO
126,2,GO_0005680,GO
127,2,GO_0005687,GO
128,2,GO_0005694,GO
129,2,GO_0005737,GO
130,2,GO_0005750,GO
131,2,GO_0005763,GO
132,2,GO_0005764,GO
133,2,GO_0005765,GO
134,2,GO_0005768,GO
135,2,GO_0005769,GO
136,2,GO_0005774,GO
137,2,GO_0005779,GO
138,2,GO_0005783,GO
139,2,GO_0005790,GO
140,2,GO_0005815,GO
141,2,GO_0005840,GO
142,2,GO_0005856,GO
143,2,GO_0005874,GO
144,2,GO_0005901,GO
145,2,GO_0005929,GO
146,2,GO_0005942,GO
237,2,GO_0008021,GO
239,2,GO_0008076,GO
247,2,GO_0008250,GO
294,2,GO_0010008,GO
328,2,GO_0015629,GO
334,2,GO_0016020,GO
335,2,GO_0016021,GO
348,2,GO_0016514,GO
350,2,GO_0016529,GO
354,2,GO_0016604,GO
355,2,GO_0016607,GO
382,2,GO_0017119,GO
408,2,GO_0019898,GO
429,2,GO_0030121,GO
430,2,GO_0030140,GO
440,2,GO_0030286,GO
443,2,GO_0030426,GO
444,2,GO_0030427,GO
455,2,GO_0031012,GO
457,2,GO_0031045,GO
458,2,GO_0031090,GO
464,2,GO_0031256,GO
465,2,GO_0031305,GO
466,2,GO_0031313,GO
471,2,GO_0031410,GO
475,2,GO_0031514,GO
477,2,GO_0031594,GO
479,2,GO_0031965,GO
480,2,GO_0031966,GO
481,2,GO_0031982,GO
482,2,GO_0031985,GO
497,2,GO_0032587,GO
504,2,GO_0032991,GO
508,2,GO_0033391,GO
524,2,GO_0034993,GO
539,2,GO_0036064,GO
542,2,GO_0036488,GO
556,2,GO_0042406,GO
564,2,GO_0042645,GO
568,2,GO_0042734,GO
571,2,GO_0042995,GO
572,2,GO_0043005,GO
581,2,GO_0043226,GO
582,2,GO_0043227,GO
583,2,GO_0043229,GO
591,2,GO_0043541,GO
611,2,GO_0044422,GO
612,2,GO_0044424,GO
613,2,GO_0044425,GO
614,2,GO_0044428,GO
615,2,GO_0044430,GO
616,2,GO_0044444,GO
617,2,GO_0044446,GO
618,2,GO_0044459,GO
619,2,GO_0044464,GO
624,2,GO_0045095,GO
627,2,GO_0045202,GO
628,2,GO_0045277,GO
663,2,GO_0048188,GO
785,2,GO_0071011,GO
788,2,GO_0071162,GO
801,2,GO_0071782,GO
811,2,GO_0072686,GO
813,2,GO_0080008,GO
831,2,GO_0097730,GO
835,2,GO_0098796,GO
857,2,GO_1902494,GO
874,2,GO_1990907,GO
